hotel_name,hotel_location,hotel_rating,hotel_star_rating,hotel_review_count,date,room_type,price,currency,amenities,availability,cancellation_policy,meal_plan
Indie Stays - Jaipur,"Jaipur Airport, Jaipur",9.1,3,329,2026-01-02,Deluxe Suite,9179.0,INR,Parking;Breakfast;WiFi;Minibar;Air Conditioning,Available,,Breakfast Included
Laxmi Palace Heritage Boutique Hotel,"Sindhi Camp, Jaipur",8.5,4,2010,2026-01-03,Royal Room,8018.0,INR,Wi-Fi [free];Parking;Breakfast;WiFi;Minibar;City View;Air Conditioning,Available,,Breakfast Included
Laxmi Palace Heritage Boutique Hotel,"Sindhi Camp, Jaipur",8.5,4,2010,2026-01-03,Family Room,11604.0,INR,Wi-Fi [free];Parking;Breakfast;WiFi;Minibar;City View;Air Conditioning,Available,,Breakfast Included
Laxmi Palace Heritage Boutique Hotel,"Sindhi Camp, Jaipur",8.5,4,2010,2026-01-03,Family Suite,15600.0,INR,Super Saver;Parking;Breakfast;WiFi;Pool Access;City View;Air Conditioning,Available,,Breakfast Included
Umaid Mahal - A Heritage Style Boutique Hotel,"Bani Park, Jaipur",8.5,4,2666,2025-12-29,No Rooms Found,,INR,,Not Available,,
Estherea Resort & Spa Jaipur,"Shanti Nagar, Jaipur",,5,,2026-01-07,Premium,6713.0,INR,Parking;Breakfast;WiFi;Spa Access;Air Conditioning,Available,,Breakfast Included
Estherea Resort & Spa Jaipur,"Shanti Nagar, Jaipur",,5,,2026-01-07,Luxury Cottage,8903.0,INR,Breakfast;Parking;Air Conditioning;WiFi,Available,,Breakfast Included
Estherea Resort & Spa Jaipur,"Shanti Nagar, Jaipur",,5,,2026-01-07,Deluxe Double Room with Balcony,10000.0,INR,Parking;Breakfast;WiFi;Balcony;Spa Access;Air Conditioning,Available,,Breakfast Included
Estherea Resort & Spa Jaipur,"Shanti Nagar, Jaipur",,5,,2026-01-07,Silver Suite,11704.0,INR,Breakfast;Parking;Air Conditioning;WiFi,Available,,Breakfast Included
Estherea Resort & Spa Jaipur,"Shanti Nagar, Jaipur",,5,,2026-01-07,Cottage,13000.0,INR,Balcony;Parking;Breakfast;WiFi;Pool Access;Spa Access;Air Conditioning,Available,,Breakfast Included
Estherea Resort & Spa Jaipur,"Shanti Nagar, Jaipur",,5,,2026-01-07,Villa With Private Pool,13769.0,INR,Garden View;Parking;Breakfast;WiFi;Pool Access;Air Conditioning,Available,,Breakfast Included
Estherea Resort & Spa Jaipur,"Shanti Nagar, Jaipur",,5,,2026-01-07,Gold Suite,13769.0,INR,Breakfast;Parking;Air Conditioning;WiFi,Available,,Breakfast Included
Estherea Resort & Spa Jaipur,"Shanti Nagar, Jaipur",,5,,2026-01-07,Junior Suite,17000.0,INR,Breakfast;Parking;Air Conditioning;WiFi,Available,,Breakfast Included
Estherea Resort & Spa Jaipur,"Shanti Nagar, Jaipur",,5,,2026-01-07,One-Bedroom Villa,20000.0,INR,Balcony;Parking;Breakfast;WiFi;Pool Access;Air Conditioning,Available,,Breakfast Included
"Keys Lite by Lemon Tree Hotels, Jaipur","Sindhi Camp, Jaipur",8.6,3,24,2026-01-03,Superior Twin,5868.0,INR,Breakfast;Air Conditioning;WiFi,Available,,Breakfast Included
"Keys Lite by Lemon Tree Hotels, Jaipur","Sindhi Camp, Jaipur",8.6,3,24,2026-01-03,Superior Double,5868.0,INR,Minibar;Breakfast;Air Conditioning;WiFi,Available,,Breakfast Included
The Divine Hotel,"Shyam Nagar, Jaipur",7.5,2,377,2026-01-05,King Room 43 m²,1471.0,INR,,Available,,
Hotel Meenakshi Palace,"Bani Park, Jaipur",7.0,3,23,2026-01-04,Triple Room,3149.0,INR,Breakfast;WiFi,Available,Free Cancellation,Breakfast Included
Hotel Magenta,"Bani Park, Jaipur",7.1,4,613,2025-12-21,No Rooms Found,,INR,,Not Available,,
Leisure Inn Grand Chanakya,"Ashok Nagar, Jaipur",7.6,5,1420,2025-12-29,Standard Room,,INR,,Not Available,,
"The Fern Habitat, Jaipur","The Fern Habitat, Jaipur",7.7,4,547,2025-12-31,Premium Room,,INR,Breakfast;City View;Air Conditioning;Parking,Not Available,Non-refundable,Breakfast Included
"The Fern Habitat, Jaipur","The Fern Habitat, Jaipur",7.7,4,547,2025-12-31,Superior Room,6034.0,INR,,Available,,
Lohagarh Fort Resort,"Kukas, Jaipur",8.7,5,637,2025-12-31,No Rooms Found,,INR,,Not Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2025-12-27,king form just before the payment page,68833.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2025-12-27,king Express check-in Free WiFi See details Original Price,68833.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2025-12-27,king Parking Local admission tickets Spa Discount 15,68833.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2025-12-27,king Bike rental Express check-in Free WiFi See details Original Price,68833.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2025-12-27,Suite 60 m²,73095.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2025-12-27,king bed Your kid can stay for FREE,76700.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2025-12-27,king bed 8,80633.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2025-12-27,Twin 104 m²,85550.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2025-12-27,king bed Bathtub Hair dryer Shower Air conditioning Mini bar Coffee,76510.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2025-12-27,king Express check-in Free WiFi See details,76510.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2025-12-27,Twin 105 m²,76510.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2025-12-27,king bed Recommended Your kid can stay for FREE,113093.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2025-12-27,Suite 214 m²,495010.0,INR,,Available,,
The Leela Palace Jaipur,"Kukas, Jaipur",9.1,5,1122,2025-12-27,King Bed Room 43 m²,32115.0,INR,,Available,,
Indie Stays - Jaipur,"Jaipur Airport, Jaipur",9.1,3,329,2026-01-03,Deluxe Premier Twin,3868.0,INR,Parking;Free Wi-Fi;Breakfast;WiFi;Minibar;City View;Air Conditioning,Available,,Breakfast Included
Indie Stays - Jaipur,"Jaipur Airport, Jaipur",9.1,3,329,2026-01-03,Double Room,3868.0,INR,Parking;Free Wi-Fi;Breakfast;WiFi;Minibar;City View;Air Conditioning,Available,,Breakfast Included
Indie Stays - Jaipur,"Jaipur Airport, Jaipur",9.1,3,329,2026-01-03,Deluxe Premier Room,4517.0,INR,Wi-Fi [free];Parking;Breakfast;WiFi;Minibar;City View;Air Conditioning,Available,,Breakfast Included
Indie Stays - Jaipur,"Jaipur Airport, Jaipur",9.1,3,329,2026-01-03,Junior Suite,6479.0,INR,Parking;Breakfast;WiFi;Minibar;Air Conditioning,Available,,Breakfast Included
Zostel Jaipur,"Amer, Jaipur",8.5,3,794,2026-01-04,No Rooms Found,,INR,,Not Available,,
Shalom Backpackers Jaipur,"Amer, Jaipur",8.8,2,451,2026-01-02,king Free WiFi See details,1999.0,INR,,Available,,
Shalom Backpackers Jaipur,"Amer, Jaipur",8.8,2,451,2026-01-02,king Free WiFi See details Original Price,2199.0,INR,,Available,,
Shalom Backpackers Jaipur,"Amer, Jaipur",8.8,2,451,2026-01-02,Deluxe - 1 Queen Bed 150 m²,2164.0,INR,,Available,,
Shalom Backpackers Jaipur,"Amer, Jaipur",8.8,2,451,2026-01-02,Deluxe Quadruple Room 200 m²,3856.0,INR,,Available,,
Vinayak Guest House,,,,,2026-01-01,king Free WiFi See details Original Price,1641.0,INR,,Available,,
Laxmi Palace Heritage Boutique Hotel,"Sindhi Camp, Jaipur",8.5,4,2010,2026-01-04,Royal Room,5762.0,INR,Wi-Fi [free];Parking;Breakfast;WiFi;Minibar;City View;Air Conditioning,Available,,Breakfast Included
Laxmi Palace Heritage Boutique Hotel,"Sindhi Camp, Jaipur",8.5,4,2010,2026-01-04,Family Room,7326.0,INR,Wi-Fi [free];Parking;Breakfast;WiFi;Minibar;City View;Air Conditioning,Available,,Breakfast Included
Laxmi Palace Heritage Boutique Hotel,"Sindhi Camp, Jaipur",8.5,4,2010,2026-01-04,Family Suite,8775.0,INR,Super Saver;Parking;Breakfast;WiFi;Pool Access;City View;Air Conditioning,Available,,Breakfast Included
Hilton Jaipur,"Bais Godam, Jaipur",8.4,5,1912,2025-12-09,King Guest Room With City View 34 Sqm/beer Bucket Per Stay/ Wifi/sofa Rain Shower/sep Bathtub/tea-co,10400.0,INR,Breakfast;WiFi;Minibar;City View;Air Conditioning,Available,,Breakfast Included
Hilton Jaipur,"Bais Godam, Jaipur",8.4,5,1912,2025-12-09,King Executive Room With City View 34 Sqm/bfst-drinks-snacks In Lounge/high Flr Comp Std Wifi/hd Sat,11900.0,INR,Breakfast;WiFi;Minibar;City View;Air Conditioning,Available,,Breakfast Included
"Keys Lite by Lemon Tree Hotels, Jaipur","Sindhi Camp, Jaipur",8.6,3,24,2026-01-04,Superior Twin,6504.0,INR,Breakfast;Air Conditioning;WiFi,Available,,Breakfast Included
"Keys Lite by Lemon Tree Hotels, Jaipur","Sindhi Camp, Jaipur",8.6,3,24,2026-01-04,Superior Double,6504.0,INR,Minibar;Breakfast;Air Conditioning;WiFi,Available,,Breakfast Included
"The Fern Habitat, Jaipur","The Fern Habitat, Jaipur",7.7,4,547,2026-01-01,Premium Room,,INR,Breakfast;City View;Air Conditioning;Parking,Not Available,Non-refundable,Breakfast Included
"The Fern Habitat, Jaipur","The Fern Habitat, Jaipur",7.7,4,547,2026-01-01,Superior Room,6034.0,INR,,Available,,
The Divine Hotel,"Shyam Nagar, Jaipur",7.5,2,377,2026-01-06,King Room 43 m²,1471.0,INR,,Available,,
Indie Stays - Jaipur,"Jaipur Airport, Jaipur",9.1,3,329,2026-01-04,Deluxe Premier Twin,4147.0,INR,Parking;Free Wi-Fi;Breakfast;WiFi;Minibar;City View;Air Conditioning,Available,,Breakfast Included
Indie Stays - Jaipur,"Jaipur Airport, Jaipur",9.1,3,329,2026-01-04,Double Room,4147.0,INR,Parking;Free Wi-Fi;Breakfast;WiFi;Minibar;City View;Air Conditioning,Available,,Breakfast Included
Indie Stays - Jaipur,"Jaipur Airport, Jaipur",9.1,3,329,2026-01-04,Deluxe Premier Room,4705.0,INR,Wi-Fi [free];Parking;Breakfast;WiFi;Minibar;City View;Air Conditioning,Available,,Breakfast Included
Indie Stays - Jaipur,"Jaipur Airport, Jaipur",9.1,3,329,2026-01-04,Junior Suite,6479.0,INR,Parking;Breakfast;WiFi;Minibar;Air Conditioning,Available,,Breakfast Included
Indie Stays - Jaipur,"Jaipur Airport, Jaipur",9.1,3,329,2026-01-04,Luxury Suite,6777.0,INR,Parking;Breakfast;WiFi;City View;Air Conditioning,Available,,Breakfast Included
Indie Stays - Jaipur,"Jaipur Airport, Jaipur",9.1,3,329,2026-01-04,Deluxe Suite,9179.0,INR,Parking;Breakfast;WiFi;Minibar;Air Conditioning,Available,,Breakfast Included
Umaid Mahal - A Heritage Style Boutique Hotel,"Bani Park, Jaipur",8.5,4,2666,2025-12-30,No Rooms Found,,INR,,Not Available,,
Hotel Meenakshi Palace,"Bani Park, Jaipur",7.0,3,23,2026-01-05,Triple Room,3149.0,INR,Breakfast;WiFi,Available,Free Cancellation,Breakfast Included
Vinayak Guest House,,,,,2026-01-02,king Free WiFi See details Original Price,1641.0,INR,,Available,,
Leisure Inn Grand Chanakya,"Ashok Nagar, Jaipur",7.6,5,1420,2025-12-30,Standard Room,,INR,,Not Available,,
Hilton Jaipur,"Bais Godam, Jaipur",8.4,5,1912,2025-12-10,King Guest Room With City View 34 Sqm/beer Bucket Per Stay/ Wifi/sofa Rain Shower/sep Bathtub/tea-co,13900.0,INR,Breakfast;WiFi;Minibar;City View;Air Conditioning,Available,,Breakfast Included
Hilton Jaipur,"Bais Godam, Jaipur",8.4,5,1912,2025-12-10,King 1 Bedroom Suite With City View 62 Sqm/bfst-drinks-snacks In Lounge/media Hub Large Seating Area,26659.0,INR,Minibar;Breakfast;City View;Air Conditioning,Available,,Breakfast Included
Laxmi Palace Heritage Boutique Hotel,"Sindhi Camp, Jaipur",8.5,4,2010,2026-01-05,Royal Room,5600.0,INR,Wi-Fi [free];Parking;Breakfast;WiFi;Minibar;City View;Air Conditioning,Available,,Breakfast Included
